id,label,text
1,frustration,"I've been waiting all week and still haven't received a call back."
2,frustration,"No one showed up for my scheduled appointment today."
3,frustration,"I emailed two days ago and haven't heard anything back yet."
4,frustration,"Why am I still waiting for a reply to my inquiry?"
5,frustration,"Your worker didn’t come as promised. This is unacceptable."
6,frustration,"Left multiple voicemails—no response from your team."
7,frustration,"I took time off for this visit and nobody arrived."
8,frustration,"It’s been over a week with zero updates on my case."
9,frustration,"I was told someone would call yesterday—nothing."
10,frustration,"I keep following up and I’m getting nowhere."
11,frustration,"Why is it so hard to get a simple status update?"
12,frustration,"I’ve been bounced around and still don’t have an answer."
13,frustration,"Your agent said they'd email me back—still waiting."
14,frustration,"Appointment window passed and no one even notified me."
15,frustration,"Please stop ignoring my messages and give me an update."
16,frustration,"I rearranged my schedule and nobody showed up."
17,frustration,"This is the third time I’ve asked—why no reply?"
18,frustration,"You promised a callback this morning; I got nothing."
19,frustration,"It shouldn’t take days to get a simple confirmation."
20,frustration,"I was left waiting without any communication at all."
21,client_wants_to_leave,"I’m done with this—I want to cancel my service."
22,client_wants_to_leave,"Please terminate my contract immediately."
23,client_wants_to_leave,"I’ll start looking somewhere else for support."
24,client_wants_to_leave,"I’m switching to another provider."
25,client_wants_to_leave,"This isn’t working for me; I want to leave."
26,client_wants_to_leave,"I can’t keep doing this—I’m moving on."
27,client_wants_to_leave,"If this continues, I’ll be taking my business elsewhere."
28,client_wants_to_leave,"I’m ready to end the service today."
29,client_wants_to_leave,"You’ve left me no choice but to look for someone else."
30,client_wants_to_leave,"I’d like to close my account, please."
31,client_wants_to_leave,"Consider this my notice to cancel."
32,client_wants_to_leave,"I’m tired of chasing—just cancel my service."
33,client_wants_to_leave,"I can’t trust the timelines, I’m leaving."
34,client_wants_to_leave,"I want to discontinue and get a final bill."
35,client_wants_to_leave,"I’m actively comparing alternatives now."
36,client_wants_to_leave,"I no longer wish to continue with your company."
37,risk_issue,"There was a safety hazard at the client’s home that wasn’t addressed."
38,risk_issue,"Medication instructions were unclear—this could be dangerous."
39,risk_issue,"The wheelchair battery isn’t charging; this is a mobility risk."
40,risk_issue,"Care was missed for two days—client was left unattended."
41,risk_issue,"Data in the email included personal details—possible privacy breach."
42,risk_issue,"A fall occurred yesterday; no incident report was filed."
43,risk_issue,"Incorrect equipment was installed and is unstable."
44,risk_issue,"The client reported chest pain during the call—needs escalation."
45,risk_issue,"Client said they felt unsafe with a staff member present."
46,risk_issue,"Transport was delayed; client missed a critical appointment."
47,risk_issue,"Access code was shared over voicemail—security concern."
48,risk_issue,"Client is out of critical medication due to scheduling error."
49,risk_issue,"Home has no heating—client at risk due to temperature."
50,risk_issue,"The ramp is broken; client can’t safely exit the house."
51,risk_issue,"Care plan wasn’t followed; client complained of worsening symptoms."
52,risk_issue,"Staff used personal phone for client photos—compliance issue."
53,risk_issue,"Client mentioned self-harm ideation—urgent wellness check needed."
54,risk_issue,"Repeated missed calls from our side triggered escalation."
55,risk_issue,"Conflicting instructions from two staff caused confusion."
56,risk_issue,"A neighbor reported shouting during a visit—duty of care check."
57,risk_issue,"Payment details were discussed on speakerphone—privacy risk."
58,risk_issue,"Client complains of being left without food support."
59,risk_issue,"No interpreter provided despite known language barrier."
60,risk_issue,"Care notes are incomplete; audit trail is missing."
61,anger,"This is ridiculous—how many times do I have to ask?"
62,anger,"I’m sick of excuses; fix this now."
63,anger,"You people never do what you promise."
64,anger,"I’m furious no one showed up today."
65,anger,"Stop wasting my time and sort this out."
66,anger,"I shouldn’t have to call five times to get help."
67,anger,"I’m angry I was lied to about the appointment."
68,anger,"This is unacceptable service, I’m done being polite."
69,anger,"Why is no one taking responsibility for this mess?"
70,anger,"I want a manager—right now."
71,anger,"You ignored me again—this is beyond frustrating."
72,anger,"Don’t tell me to wait; I’ve waited long enough."
73,anger,"I’m not paying for this incompetence."
74,anger,"How hard is it to call me back?"
75,anger,"I feel disrespected by your team’s attitude."
76,urgency,"I need someone to come today—this can’t wait."
77,urgency,"Please fix this now, it’s an emergency."
78,urgency,"I require an immediate call back within the hour."
79,urgency,"This needs to be resolved before end of day."
80,urgency,"I can’t be without this support tonight."
81,urgency,"We’re out of essential supplies—urgent assistance needed."
82,urgency,"The situation is getting worse—send help now."
83,urgency,"I’ve been waiting at the door; the worker must come immediately."
84,urgency,"Client can’t move safely right now—urgent visit required."
85,urgency,"Please prioritize this case; it’s time‑sensitive."
86,escalation,"I want to speak to a manager right now."
87,escalation,"I’m filing a formal complaint about this."
88,escalation,"Please escalate this ticket to your leadership team."
89,escalation,"Consider this a formal escalation—I need action today."
90,escalation,"Who is the supervisor? I need their contact immediately."
91,escalation,"I’ll be taking this to the commission if not addressed."
92,escalation,"Open a priority escalation—this has gone on long enough."
93,escalation,"I want written confirmation this has been escalated."
94,escalation,"Log this as a complaint and send me a reference number."
95,escalation,"Connect me to the head of the department, please."
96,client_wants_to_leave,"You see, we want to look somewhere else for service. Because all these mistakes happen. And then when we try to look outside for service, then he said, now why would"
97,frustration,"She doesn't want to do it"
98,frustration,"But last night nobody can do it,"
99,frustration,"But I don't understand. So, does the team she know that Janelina doesn't do the cassera?"
100,risk_issue,"Who should I be calling to fix it? The wheelchair's playing out. Yeah, because the battery is not charging properly."

